level,word,translation
A2,passport,паспорт
A2,visa,віза
A2,ticket,квиток
A2,luggage,багаж
A2,suitcase,валіза
A2,backpack,рюкзак
A2,map,карта
A2,guide,гід / путівник
A2,tourist attraction,туристична пам’ятка
A2,museum,музей
A2,beach,пляж
A2,mountains,гори
A2,sea,море
A2,river,річка
A2,lake,озеро
A2,island,острів
A2,abroad,за кордоном
A2,border,кордон
A2,travel insurance,туристична страховка
A2,public transport,громадський транспорт
A2,transport,транспорт
A2,bus,автобус
A2,train,потяг
A2,tram,трамвай
A2,underground / metro,метро
A2,subway,метро
A2,taxi,таксі
A2,car,автомобіль
A2,bicycle / bike,велосипед
A2,motorcycle,мотоцикл
A2,plane / aeroplane,літак
A2,ship,корабель
A2,boat,човен
A2,coach,міжміський автобус
A2,platform,платформа / колія
A2,stop,зупинка
A2,station,станція / вокзал
A2,departure,відправлення
A2,arrival,прибуття
A2,delay,затримка
A2,departure time,час відправлення
A2,arrival time,час прибуття
A2,one-way ticket,квиток в один бік
A2,return ticket,квиток туди й назад
A2,miss a bus/train,запізнитися на автобус / потяг
A2,catch a bus/train,встигнути на автобус / потяг
A2,get on,сідати в транспорт
A2,get off,виходити з транспорту
A2,check in,зареєструватися
A2,check out,виселитися
A2,book a room,забронювати номер
A2,go abroad,їхати за кордон
A2,travel by plane,подорожувати літаком
A2,travel by train,подорожувати потягом
A2,job,робота / посада
A2,profession,професія
A2,career,кар’єра
A2,company,компанія
A2,office,офіс
A2,workplace,робоче місце
A2,employee,працівник
A2,employer,роботодавець
A2,colleague,колега
A2,manager,менеджер / керівник
A2,boss,начальник
A2,meeting,зустріч / нарада
A2,project,проєкт
A2,task,завдання
A2,salary,зарплата
A2,pay,оплата / зарплата
A2,part-time,неповний робочий день
A2,full-time,повний робочий день
A2,experience,досвід
A2,education,освіта
A2,degree,диплом / ступінь
A2,skill,навичка
A2,CV / résumé,резюме
A2,interview,співбесіда
A2,application,заявка
A2,business,бізнес
A2,customer,клієнт
A2,client,клієнт
A2,doctor,лікар
A2,nurse,медсестра / медбрат
A2,engineer,інженер
A2,designer,дизайнер
A2,artist,художник / митець
A2,actor,актор
A2,writer,письменник
A2,journalist,журналіст
A2,lawyer,юрист / адвокат
A2,police officer,поліцейський
A2,firefighter,пожежник
A2,chef,шеф-кухар
A2,cook,кухар
A2,waiter,офіціант
A2,waitress,офіціантка
A2,shop assistant,продавець-консультант
A2,driver,водій
A2,mechanic,механік
A2,farmer,фермер
A2,scientist,науковець
A2,photographer,фотограф
A2,model,модель
A2,manager,менеджер
A2,accountant,бухгалтер
A2,dentist,стоматолог
A2,work from home,працювати з дому
A2,work overtime,працювати понаднормово
A2,get a job,отримати роботу
A2,look for a job,шукати роботу
A2,apply for a job,подаватися на роботу
A2,earn money,заробляти гроші
A2,get paid,отримувати зарплату
A2,start a job,почати працювати
A2,leave a job,звільнитися / залишити роботу
A2,lose a job,втратити роботу
A2,body,тіло
A2,head,голова
A2,face,обличчя
A2,hair,волосся
A2,eye,око
A2,ear,вухо
A2,nose,ніс
A2,mouth,рот
A2,tooth,зуб
A2,teeth,зуби
A2,lip,губа
A2,neck,шия
A2,shoulder,плече
A2,arm,рука
A2,elbow,лікоть
A2,hand,кисть / рука
A2,finger,палець руки
A2,chest,груди / грудна клітка
A2,back,спина
A2,stomach,живіт / шлунок
A2,waist,талія
A2,leg,нога
A2,knee,коліно
A2,foot,стопа
A2,feet,стопи
A2,toe,палець ноги
A2,skin,шкіра
A2,heart,серце
A2,blood,кров
A2,bone,кістка
A2,muscle,м’яз
A2,brain,мозок
A2,health,здоров’я
A2,healthy,здоровий
A2,unhealthy,нездоровий
A2,ill / sick,хворий
A2,illness,хвороба
A2,disease,захворювання
A2,pain,біль
A2,headache,головний біль
A2,toothache,зубний біль
A2,stomachache,біль у животі
A2,backache,біль у спині
A2,earache,біль у вусі
A2,sore throat,біль у горлі
A2,cold,застуда
A2,flu,грип
A2,fever,температура / жар
A2,cough,кашель
A2,runny nose,нежить
A2,blocked nose,закладений ніс
A2,sneeze,чхати
A2,sneezing,чхання
A2,temperature,температура
A2,symptom,симптом
A2,medicine,ліки
A2,tablet / pill,таблетка
A2,hospital,лікарня
A2,pharmacy,аптека
A2,appointment,запис / прийом
A2,patient,пацієнт
A2,injury,травма
A2,accident,нещасний випадок
A2,cut,поріз
A2,burn,опік
A2,bruise,синець
A2,broken bone,зламана кістка
A2,hurt,боліти / завдавати болю
A2,feel ill,почуватися погано
A2,feel better,почуватися краще
A2,take medicine,приймати ліки
A2,see a doctor,звернутися до лікаря
A2,get better,одужувати
A2,rest,відпочивати
A2,recover,одужувати / відновлюватися
A2,appearance,зовнішність
A2,look,виглядати
A2,handsome,красивий (про чоловіка)
A2,pretty,гарненький
A2,attractive,привабливий
A2,good-looking,привабливий / вродливий
A2,ugly,некрасивий
A2,tall,високий
A2,short,низький
A2,medium-height,середнього зросту
A2,thin,худий
A2,slim,стрункий
A2,fat,товстий
A2,overweight,із зайвою вагою
A2,strong,сильний
A2,weak,слабкий
A2,middle-aged,середнього віку
A2,cute,милий
A2,round,круглий
A2,straight,прямий
A2,curly,кучерявий
A2,wavy,хвилястий
A2,blonde,білявий
A2,brown,каштановий / коричневий
A2,red,рудий / червоний
A2,pale,блідий
A2,beard,борода
A2,moustache,вуса
A2,glasses,окуляри
A2,personality,характер / особистість
A2,character,характер
A2,kind,добрий
A2,friendly,дружелюбний
A2,polite,ввічливий
A2,helpful,готовий допомогти
A2,funny,веселий / смішний
A2,serious,серйозний
A2,quiet,тихий / спокійний
A2,talkative,балакучий
A2,shy,сором’язливий
A2,confident,впевнений у собі
A2,clever,розумний
A2,smart,розумний
A2,stupid,дурний
A2,lazy,лінивий
A2,hard-working,працьовитий
A2,active,активний
A2,creative,творчий
A2,patient,терплячий
A2,impatient,нетерплячий
A2,honest,чесний
A2,dishonest,нечесний
A2,generous,щедрий
A2,selfish,егоїстичний
A2,brave,сміливий
A2,afraid,наляканий / боязкий
A2,calm,спокійний
A2,nervous,нервовий
A2,positive,позитивний
A2,negative,негативний
A2,lovely,чудовий / милий
A2,strange,дивний
A2,weather,погода
A2,sun,сонце
A2,sunny,сонячний
A2,cloud,хмара
A2,cloudy,хмарний
A2,rain,дощ
A2,rainy,дощовий
A2,snow,сніг
A2,snowy,сніжний
A2,wind,вітер
A2,windy,вітряний
A2,fog,туман
A2,foggy,туманний
A2,storm,буря / гроза
A2,stormy,бурхливий / грозовий
A2,thunder,грім
A2,lightning,блискавка
A2,ice,лід
A2,icy,крижаний
A2,degree,градус
A2,warm,теплий
A2,cool,прохолодний
A2,wet,вологий / мокрий
A2,dry,сухий
A2,freezing,дуже холодний / морозний
A2,raincoat,дощовик
A2,umbrella,парасолька
A2,forecast,прогноз погоди
A2,weather forecast,прогноз погоди
A2,season,пора року
A2,environment,навколишнє середовище
A2,nature,природа
A2,air,повітря
A2,land,земля / територія
A2,earth,Земля
A2,forest,ліс
A2,tree,дерево
A2,plant,рослина
A2,flower,квітка
A2,grass,трава
A2,field,поле
A2,mountain,гора
A2,hill,пагорб
A2,ocean,океан
A2,animal,тварина
A2,bird,птах
A2,insect,комаха
A2,wild,дикий
A2,pollution,забруднення
A2,air pollution,забруднення повітря
A2,water pollution,забруднення води
A2,plastic,пластик
A2,plastic waste,пластикові відходи
A2,rubbish / garbage,сміття
A2,recycling,переробка
A2,recycle,переробляти
A2,waste,відходи / марнувати
A2,protect,захищати
A2,destroy,знищувати
A2,natural,природний
A2,environmentally friendly,екологічний
A2,climate,клімат
A2,climate change,зміна клімату
A2,global warming,глобальне потепління
A2,energy,енергія
A2,electricity,електроенергія
A2,reusable,багаторазовий
A2,reduce,зменшувати
A2,reuse,використовувати повторно
B1,school system,система освіти
B1,education system,система освіти
B1,subject,предмет
B1,lesson,урок
B1,class,заняття / клас
B1,course,курс
B1,college,коледж
B1,student,студент
B1,teacher,вчитель / викладач
B1,professor,професор
B1,classmate,однокласник / одногрупник
B1,roommate,сусід по кімнаті
B1,homework,домашнє завдання
B1,assignment,завдання
B1,exam,іспит
B1,test,тест
B1,grade,оцінка
B1,mark,оцінка
B1,result,результат
B1,certificate,сертифікат
B1,qualification,кваліфікація
B1,knowledge,знання
B1,research,дослідження
B1,essay,есе
B1,presentation,презентація
B1,lecture,лекція
B1,training,навчання / тренінг
B1,scholarship,стипендія
B1,tuition fee,плата за навчання
B1,academic,академічний
B1,practical,практичний
B1,theoretical,теоретичний
B1,online learning,онлайн-навчання
B1,distance learning,дистанційне навчання
B1,self-study,самонавчання
B1,learn by heart,вчити напам'ять
B1,take an exam,складати іспит
B1,pass an exam,скласти іспит
B1,fail an exam,провалити іспит
B1,get a good grade,отримати хорошу оцінку
B1,make progress,робити прогрес
B1,improve,покращувати
B1,develop a skill,розвивати навичку
B1,attend a class,відвідувати заняття
B1,miss a class,пропустити заняття
B1,graduate,закінчувати університет
B1,study for an exam,готуватися до іспиту
B1,hand in homework,здати домашнє завдання
B1,emotion,емоція
B1,feeling,почуття
B1,mood,настрій
B1,happiness,щастя
B1,sadness,сум
B1,anger,гнів
B1,fear,страх
B1,surprise,здивування
B1,excitement,захоплення / хвилювання
B1,joy,радість
B1,stress,стрес
B1,worry,хвилювання
B1,anxiety,тривога
B1,disappointment,розчарування
B1,embarrassment,збентеження
B1,jealousy,ревнощі
B1,pride,гордість
B1,shame,сором
B1,guilt,провина
B1,confidence,впевненість
B1,trust,довіра
B1,respect,повага
B1,support,підтримка
B1,love,любов
B1,friendship,дружба
B1,relationship,стосунки
B1,couple,пара
B1,partner,партнер / партнерка
B1,close friend,близький друг
B1,best friend,найкращий друг
B1,acquaintance,знайомий / знайома
B1,argument,сварка / суперечка
B1,conflict,конфлікт
B1,problem,проблема
B1,disagreement,незгода
B1,opinion,думка
B1,advice,порада
B1,secret,секрет
B1,promise,обіцянка
B1,lie,брехня
B1,truth,правда
B1,apology,вибачення
B1,reason,причина
B1,decision,рішення
B1,choice,вибір
B1,agree,погоджуватися
B1,disagree,не погоджуватися
B1,argue,сперечатися / сваритися
B1,discuss,обговорювати
B1,complain,скаржитися
B1,apologise,вибачатися
B1,forgive,пробачати
B1,care about,піклуватися / перейматися
B1,get along with,ладнати з
B1,fall out with,посваритися з
B1,make up,помиритися
B1,break up,розійтися
B1,get to know,познайомитися / дізнатися ближче
B1,keep in touch,підтримувати зв'язок
B1,lose touch,втратити зв'язок
B1,personality,особистість / характер
B1,reliable,надійний
B1,unreliable,ненадійний
B1,responsible,відповідальний
B1,irresponsible,безвідповідальний
B1,self-confident,впевнений у собі
B1,insecure,невпевнений у собі
B1,independent,незалежний
B1,dependent,залежний
B1,ambitious,амбітний
B1,determined,рішучий
B1,stubborn,впертий
B1,sensitive,чутливий
B1,emotional,емоційний
B1,loyal,відданий
B1,disloyal,невірний / нелояльний
B1,mature,зрілий
B1,immature,незрілий
B1,rude,грубий
B1,arrogant,зарозумілий
B1,modest,скромний
B1,jealous,ревнивий
B1,moody,мінливий у настрої
B1,open-minded,відкритий до нового
B1,narrow-minded,обмежений у поглядах
B1,easy-going,легкий у спілкуванні
B1,aggressive,агресивний
B1,confusing,"незрозумілий / такий, що заплутує"
B1,complicated,складний
B1,understanding,"чуйний / той, хто розуміє інших"
B1,media,медіа / засоби масової інформації
B1,news,новини
B1,newspaper,газета
B1,magazine,журнал
B1,article,стаття
B1,website,вебсайт
B1,blog,блог
B1,social media,соціальні мережі
B1,post,допис
B1,comment,коментар
B1,content,контент
B1,account,акаунт
B1,profile,профіль
B1,follower,підписник
B1,influencer,інфлюенсер
B1,reporter,репортер
B1,advertisement / ad,реклама
B1,headline,заголовок
B1,source,джерело
B1,information,інформація
B1,fact,факт
B1,fake news,фейкові новини
B1,review,відгук / рецензія
B1,movie / film,фільм
B1,cinema,кіно / кінотеатр
B1,actress,акторка
B1,director,режисер
B1,character,персонаж
B1,main character,головний персонаж
B1,plot,сюжет
B1,story,історія / сюжет
B1,scene,сцена
B1,episode,епізод
B1,season,сезон
B1,series,серіал
B1,documentary,документальний фільм
B1,comedy,комедія
B1,drama,драма
B1,horror,жахи
B1,thriller,трилер
B1,action film,бойовик
B1,romantic comedy,романтична комедія
B1,science fiction,наукова фантастика
B1,fantasy,фентезі
B1,book,книга
B1,novel,роман
B1,author,автор
B1,reader,читач
B1,chapter,розділ
B1,page,сторінка
B1,ending,кінцівка
B1,beginning,початок
B1,cover,обкладинка
B1,library,бібліотека
B1,recommend,рекомендувати
B1,be based on,бути заснованим на
B1,be interested in,цікавитися
B1,be similar to,бути схожим на
B1,be different from,відрізнятися від
B1,technology,технології
B1,device,пристрій
B1,gadget,гаджет
B1,computer,комп'ютер
B1,laptop,ноутбук
B1,tablet,планшет
B1,smartphone,смартфон
B1,mobile phone,мобільний телефон
B1,screen,екран
B1,keyboard,клавіатура
B1,mouse,комп'ютерна мишка
B1,headphones,навушники
B1,earphones,навушники-вкладиші
B1,charger,зарядний пристрій
B1,battery,батарея / акумулятор
B1,camera,камера
B1,smartwatch,смартгодинник
B1,app,застосунок
B1,application,застосунок
B1,browser,браузер
B1,internet,інтернет
B1,Wi-Fi,Wi-Fi
B1,password,пароль
B1,file,файл
B1,document,документ
B1,photo,фотографія
B1,video,відео
B1,message,повідомлення
B1,email,електронний лист
B1,social network,соціальна мережа
B1,online,онлайн
B1,offline,офлайн
B1,digital,цифровий
B1,technology,технологія
B1,software,програмне забезпечення
B1,update,оновлення
B1,download,завантажувати
B1,upload,завантажувати / додавати онлайн
B1,click,натискати
B1,search,шукати
B1,connect,підключати / з'єднувати
B1,disconnect,відключати
B1,install,встановлювати
B1,delete,видаляти
B1,share,ділитися
B1,send,надсилати
B1,receive,отримувати
B1,log in,увійти в акаунт
B1,log out,вийти з акаунта
B1,sign up,зареєструватися
B1,charge,заряджати
B1,run out of battery,розрядитися
B1,work properly,працювати належним чином
B1,healthy lifestyle,здоровий спосіб життя
B1,lifestyle,спосіб життя
B1,diet,дієта / харчування
B1,balanced diet,збалансоване харчування
B1,meal,прийом їжі
B1,nutrition,харчування
B1,nutrient,поживна речовина
B1,protein,білок
B1,carbohydrate,вуглевод
B1,fat,жир
B1,vitamin,вітамін
B1,sugar,цукор
B1,salt,сіль
B1,calorie,калорія
B1,vegetarian,вегетаріанський / вегетаріанець
B1,vegan,веганський / веган
B1,workout,тренування
B1,strength,сила
B1,weight,вага
B1,lose weight,худнути
B1,gain weight,набирати вагу
B1,keep fit,підтримувати форму
B1,stay healthy,залишатися здоровим
B1,get enough sleep,достатньо спати
B1,sleep schedule,режим сну
B1,mental health,ментальне / психічне здоров'я
B1,well-being,добробут / хороше самопочуття
B1,burnout,вигорання
B1,depression,депресія
B1,anxiety,тривожність
B1,pressure,тиск
B1,self-care,турбота про себе
B1,motivation,мотивація
B1,habit,звичка
B1,routine,розпорядок
B1,avoid,уникати
B1,increase,збільшувати
B1,quit,кидати / припиняти
B1,give up,здаватися / відмовлятися
B1,cut down on,скорочувати споживання
B1,work out,тренуватися
B1,warm up,розігріватися
B1,cool down,робити заминку
B1,finance,фінанси
B1,bank,банк
B1,bank account,банківський рахунок
B1,cash machine / ATM,банкомат
B1,bank transfer,банківський переказ
B1,payment,платіж
B1,income,дохід
B1,expense,витрата
B1,spending,витрати
B1,bill,рахунок
B1,rent,оренда
B1,tax,податок
B1,loan,кредит / позика
B1,debt,борг
B1,interest,відсоток
B1,budget,бюджет
B1,savings,заощадження
B1,saving,заощадження / процес накопичення
B1,profit,прибуток
B1,loss,збиток
B1,service,послуга
B1,business owner,власник бізнесу
B1,entrepreneur,підприємець
B1,investment,інвестиція
B1,invest,інвестувати
B1,earn,заробляти
B1,afford,дозволити собі
B1,pay back,повертати гроші
B1,set a budget,встановити бюджет
B1,save money,заощаджувати гроші
B1,spend money,витрачати гроші
B1,make money,заробляти гроші
B1,open an account,відкрити рахунок
B1,withdraw money,знімати гроші
B1,deposit money,класти гроші на рахунок
B1,transfer money,переказувати гроші
B1,come back,повертатися
B1,come in,заходити
B1,go away,їхати / йти геть
B1,look for,шукати
B1,look after,доглядати за
B1,look at,дивитися на
B1,find out,дізнаватися
B1,pick up,підбирати / забирати
B1,put on,одягати
